Date,AAPL,GOOGL,MSFT
2022-04-26,-0.03732802801371615,-0.035945821714025716,-0.03740377382683224
2022-04-27,-0.0014668834634857797,-0.036708800771723005,0.04810899684976322
2022-04-28,0.04515535499930445,0.036992127728215474,0.02263254683450433
2022-04-29,-0.0366048430650775,-0.03723345397075151,-0.04181213920036342
2022-05-02,0.001966592658151356,0.021676575362248984,0.025043340527513003
2022-05-03,0.00962259961019396,0.006441757799199532,-0.00945611905335031
2022-05-04,0.04100840245538717,0.04199125546305971,0.02910069430583917
2022-05-05,-0.055716184571569904,-0.04707552464606224,-0.043554707924289615
2022-05-06,0.004727181179170037,-0.0065147369040750025,-0.009446535760956776
2022-05-09,-0.033189246675500605,-0.027953299442196933,-0.03694535942375088
2022-05-10,0.016111969874053944,0.016744985197709505,0.018595471846761802
