,Baseline DJIA,Baseline Max Sharpe,EXPERIMENT_6_1678606705_1850000,EXPERIMENT_6_1678606705_2250000,EXPERIMENT_6_1678606705_2950000,EXPERIMENT_8_1678691302_1000000,EXPERIMENT_8_1678691302_2560000,EXPERIMENT_9_1678768311_1000000
2014-03-18,0.005476057111454,0.0065905464349642,,,,,,
2014-03-19,-0.0069796265110433,-0.0096193707141747,,,,,,
2014-03-20,0.0067117952368185,0.0029064096165054,,,,,,
2014-03-21,-0.00173168741604,-0.0097108799739124,,,,,,
2014-03-24,-0.0015996730808535,-0.0026395274790565,,,,,,
2014-03-25,0.0056024566860763,0.0025359572279261,,,,,,
2014-03-26,-0.0060416895251865,-0.0113397280501037,,,,,,
2014-03-27,-0.0002925667516194,-0.0008854083197167,,,,,,
2014-03-28,0.0036170848461312,0.0045899676274392,,,,,,
2014-03-31,0.0082460390074361,0.0063495013013541,,,,,,
2014-04-01,0.0045540628520961,0.0107517163061004,,,,,,
2014-04-02,0.0024430883282755,0.0006020447500941,,,,,,
2014-04-03,-2.710545767214967e-05,0.0010307254105192,,,,,,
2014-04-04,-0.0096448546672031,-0.0125235609110914,,,,,,
2014-04-07,-0.0101653420295911,-0.0132443007218086,,,,,,
2014-04-08,0.0006321318080177,0.0054712930762264,,,,,,
2014-04-09,0.0111367177557373,0.0080440796438939,,,,,,
2014-04-10,-0.0162412266588845,-0.0263422327413013,,,,,,
2014-04-11,-0.0088724661129263,-0.0047799782567494,,,,,,
2014-04-14,0.0091403581122186,0.0087350409258486,,,,,,
2014-04-15,0.0055226617946142,0.00923492624759,,,,,,
2014-04-16,0.0099793663082878,0.0070374288017376,,,,,,
2014-04-17,-0.0009930408656947,0.0054695340126067,,,,,,
2014-04-21,0.0024810824013601,-0.0025043506893178,,,,,,
2014-04-22,0.003958790864325,0.0008217665474255,,,,,,
2014-04-23,-0.0007701626318084,-0.0012525657402454,,,,,,
2014-04-24,0.0,0.0020764111619963,,,,,,
2014-04-25,-0.0084955399229125,-0.0117742414444338,,,,,,
2014-04-28,0.0053345039896122,0.0094119924687716,,,,,,
2014-04-29,0.005266598232791,0.0029854262684989,,,,,,
2014-04-30,0.0027499055351165,0.0034252093188828,,,,,,
2014-05-01,-0.0013250657585527,-0.0039338942912089,,,,,,
2014-05-02,-0.0027766700270731,-0.0024746497905203,,,,,,
2014-05-05,0.0010694769711163,0.0099560028996866,,,,,,
2014-05-06,-0.0078358701844902,-0.0047612496353948,,,,,,
2014-05-07,0.0071653796293627,-0.0031664668967778,,,,,,
2014-05-08,0.0019633479996197,0.0076159071091339,,,,,,
2014-05-09,0.0019557246040493,0.0013734371356421,,,,,,
2014-05-12,0.0067616572072639,0.0050347775405593,,,,,,
2014-05-13,0.00119605792224,-0.0004931726820191,,,,,,
2014-05-14,-0.0060703608950604,-0.0090755621704957,,,,,,
2014-05-15,-0.0100614211519319,-0.0089047277377299,,,,,,
2014-05-16,0.0027056917736827,0.0050318102788307,,,,,,
2014-05-19,0.0012460397290192,0.007802333339183,,,,,,
2014-05-20,-0.008330364349866,-0.0006013098155217,,,,,,
2014-05-21,0.0096951249077594,0.0091153964701246,,,,,,
2014-05-22,0.0006060300342813,0.002211904790105,,,,,,
2014-05-23,0.0038196909418672,0.0102202504120176,,,,,,
2014-05-27,0.0041689356311915,0.0091476877818326,,,,,,
2014-05-28,-0.0025378736769512,-0.0020987807780749,,,,,,
2014-05-29,0.0039415522531911,0.0103847158532781,,,,,,
2014-05-30,0.0011036573562634,0.0026701684117251,,,,,,
2014-06-02,0.001582859875425,-0.0017846570776411,,,,,,
2014-06-03,-0.0012715889285792,0.0098843175668191,,,,,,
2014-06-04,0.0009083330004608,0.0033396983234309,,,,,,
2014-06-05,0.0058897628423213,0.0037302421911285,,,,,,
2014-06-06,0.0052369534974585,0.0079474150807012,,,,,,
